,number,author,life,title,width,height,image_url,wall,position,image_path
943,713 ,Poussin nicolas, (1594-1665). ,sainte famille en hauteur,,,,S,XIV,
944,714 ,Poussin nicolas, (1594-1665). ,sainte famille en largeur,,,,S,XIV,
945,715 ,Poussin nicolas, (1594-1665). ,les aveugles de jéricho,176.0,119.0,https://upload.wikimedia.org/wikipedia/commons/0/09/Les_Aveugles_de_J%C3%A9richo_-_Nicolas_Poussin_-_Louvre.jpg,N,XIV,data/images_paintings/945.jpg
946,716 ,Poussin nicolas, (1594-1665). ,la femme adultère devant le christ,,,,S,XIV,
947,717 ,Poussin nicolas, (1594-1665). ,jésus christ instituant le sacrement de l'eucharistie,,,,N,XIV,
948,718 ,Poussin nicolas, (1594-1665). ,l'assomption de la vierge,40.0,57.0,https://upload.wikimedia.org/wikipedia/commons/5/50/Nicolas_Poussin_-_The_Assumption_of_the_Virgin_-_WGA18331.jpg,S,XIV,data/images_paintings/948.jpg
949,719 ,Poussin nicolas, (1594-1665). ,apparition de la vierge à st jacques le majeur,,,,N,XIV,
950,720 ,Poussin nicolas, (1594-1665). ,la mort de saphire,199.0,122.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Nicolas_Poussin_-_La_Mort_de_Saphire.jpg/1200px-Nicolas_Poussin_-_La_Mort_de_Saphire.jpg,S,XIV,data/images_paintings/950.jpg
951,721 ,Poussin nicolas, (1594-1665). ,saint jean baptisant le peuple sur les bords du jourdain ,,,,N,XIV,
952,722 ,Poussin nicolas, (1594-1665). ,le ravissement de saint paul,120.0,148.0,https://upload.wikimedia.org/wikipedia/commons/a/a4/L%27Extase_de_saint_Paul.jpg,S,XIV,data/images_paintings/952.jpg
953,723 ,Poussin nicolas, (1594-1665). ,saint françois xavier rappelant à la vie la fille d'un habitant de cangorima japon,,,,E,XIV,
954,724 ,Poussin nicolas, (1594-1665). ,l'enlèvement des sabines,206.0,159.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/L%27Enl%C3%A8vement_des_Sabines_%E2%80%93_Nicolas_Poussin_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_INV_7290_%E2%80%93_Q3110586.jpg/1200px-L%27Enl%C3%A8vement_des_Sabines_%E2%80%93_Nicolas_Poussin_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_INV_7290_%E2%80%93_Q3110586.jpg,S,XIV,data/images_paintings/954.jpg
955,725 ,Poussin nicolas, (1594-1665). ,camille livre le maître d'école des falisques à ses écoliers,,,,N,XIV,
956,726 ,Poussin nicolas, (1594-1665). ,le jeune pyrrhus sauvé,160.0,116.0,https://upload.wikimedia.org/wikipedia/commons/3/30/Le_Jeune_Pyrrhus_sauv%C3%A9_Poussin_Mus%C3%A9e_du_Louvre.jpg,S,XIV,data/images_paintings/956.jpg
957,729 ,Poussin nicolas, (1594-1665). ,bacchanale  ,175.0,121.0,https://upload.wikimedia.org/wikipedia/commons/f/fa/Nicolas_Poussin_-_Bacchanal_-_the_Andrians_-_WGA18269.jpg,N,XIV,data/images_paintings/957.jpg
958,731 ,Poussin nicolas, 11594-1665). ,echo et narcisse,100.0,74.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Nicolas_Poussin%2C_Eco_e_Narciso_%28ca._1629-1630%29%2C_Museo_del_Louvre%2C_Parigi..jpg/1200px-Nicolas_Poussin%2C_Eco_e_Narciso_%28ca._1629-1630%29%2C_Museo_del_Louvre%2C_Parigi..jpg,N,XIV,data/images_paintings/958.jpg
959,732 ,Poussin nicolas, 11594-1665). ,le triomphe de flore,241.0,165.0,https://upload.wikimedia.org/wikipedia/commons/7/7a/Nicolas_Poussin_-_The_Triumph_of_Flora_-_WGA18282.jpg,N,XIV,data/images_paintings/959.jpg
960,733 ,Poussin nicolas, 11594-1665). ,le concert,,,,S,XIV,
961,734 ,Poussin nicolas, 11594-1665). ,les bergers d'arcadie ,121.0,85.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Nicolas_Poussin_-_Et_in_Arcadia_ego_%28deuxi%C3%A8me_version%29.jpg/1200px-Nicolas_Poussin_-_Et_in_Arcadia_ego_%28deuxi%C3%A8me_version%29.jpg,N,XIV,data/images_paintings/961.jpg
962,735 ,Poussin nicolas, 11594-1665). ,le temps soustrait la vérité aux atteintes de l'envie et de la discorde,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Nicolas_Poussin_-_Le_Temps_soustrait_la_V%C3%A9rit%C3%A9_aux_atteintes_de_l%27Envie_et_de_la_Discorde.jpg/1200px-Nicolas_Poussin_-_Le_Temps_soustrait_la_V%C3%A9rit%C3%A9_aux_atteintes_de_l%27Envie_et_de_la_Discorde.jpg,S,XIV,data/images_paintings/962.jpg
963,736 ,Poussin nicolas, 11594-1665). ,le printemps ou le paradis terrestre paysage,,,,N,XIV,
964,737 ,Poussin nicolas, 11594-1665). ,l'été ou ruth et booz paysage,,,,N,XIV,
965,738 ,Poussin nicolas, 11594-1665). ,l'automne ou la grappe de la terre promise paysage,,,,S,XIV,
966,739 ,Poussin nicolas, 11594-1665). ,l'hiver ou le déluge paysage,,,,S,XIV,
967,740 ,Poussin nicolas, 11594-1665). ,orphée et eurydice paysage,200.0,124.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Paysage_avec_Orph%C3%A9e_et_Eurydice_%E2%80%93_Nicolas_Poussin_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_INV_7307_%E2%80%93_Q6485124.jpg/1200px-Paysage_avec_Orph%C3%A9e_et_Eurydice_%E2%80%93_Nicolas_Poussin_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_INV_7307_%E2%80%93_Q6485124.jpg,S,XIV,data/images_paintings/967.jpg
968,741 ,Poussin nicolas, 11594-1665). ,diogène jetant son écuelie paysage,,,,N,XIV,
969,742 ,Poussin nicolas, 11594-1665). ,apollon amoureux de daphné,200.0,155.0,https://upload.wikimedia.org/wikipedia/commons/d/d9/Nicolas_Poussin_-_Apollo_and_Daphne_-_WGA18345.jpg,S,XIV,data/images_paintings/969.jpg
970,743 ,Poussin nicolas, 11594-1665). ,portrait de l'artiste par lui mème,,,,S,XIV,
971,S N ,Poussin nicolas, 11594-1665). ,l'inspiration du poète reproduit,,,,N,XIV,
972,S N ,Poussin nicolas, 11594-1665). ,achille à scyros,,,,N,XIV,
973,744 ,"""prudhon"" pierre"," 117^8-182-,). ",le christ sur la croix,16.0,24.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002241/p0005986-001.jpg,N,XVI,data/images_paintings/973.jpg
974,745 ,"""prudhon"" pierre"," 117^8-182-,). ",le christ sur la croix esquisse du tableau précédent,,,,N,XVI,
975,746 ,"""prudhon"" pierre"," 117^8-182-,). ",l'assomption de la viergc,,,,E,XVI,
976,747 ,"""prudhon"" pierre"," 117^8-182-,). ",la justice et la vengeance divine poursuivant le crime,294.0,244.0,https://upload.wikimedia.org/wikipedia/commons/4/4b/Pierre-Paul_Prud%27hon_-_Justice_and_Divine_Vengeance_Pursuing_Crime.JPG,N,XVI,data/images_paintings/976.jpg
977,750 ,"""prudhon"" pierre"," 117^8-182-,). ", 'fttide,,,,E,XVI,
978,752 ,"""prudhon"" pierre", ( 1758-182-}). ,portrait de mme jarre,,,,N,XVI,
979,753 ,"""prudhon"" pierre", ( 1758-182-}). ,portrait de jeune homme,54.0,68.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002251/02-013624.jpg,N,XVI,data/images_paintings/979.jpg
980,754 ,"""prudhon"" pierre", ( 1758-182-}). ,portrait du baron denon directeur général des musées membre de l'institut ,,,,S,XVI,
981,755 ,"""prudhon"" pierre", ( 1758-182-}). ,portrait de marie marguerite lagnier devenue plus tard mille versigny,,,,S,XVI,
982,756 ,"""prudhon"" pierre", ( 1758-182-}). ,l'enlèvement de psyché,157.0,195.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Pierre-Paul_Prud%27hon_003.jpg/1200px-Pierre-Paul_Prud%27hon_003.jpg,S,XVI,data/images_paintings/982.jpg
983,757 ,"""prudhon"" pierre", ( 1758-182-}). ,composition allégorique en l'honneur du mariage de napoléon 1er avec marie louise esquisse,,,,S,XVI,
984,758 ,"""prudhon"" pierre", ( 1758-182-}). ,la sagesse et la vérité descendent sur la terre,,,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002238/97-005453.jpg,E,XVI,data/images_paintings/984.jpg
985,758 a ,"""prudhon"" pierre", ( 1758-182-}). ,jeune nymphe lutinée par des amours,,,,S,XVI,
986,759 ,"""prudhon"" pierre", ( 1758-182-}). ,portrait'de m vallet,50.5,61.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002250/13-578218.jpg,E,XVI,data/images_paintings/986.jpg
987,S Nu ,"""prudhon"" pierre", ( 1758-182-}). ,jeune zéphyr se balançant au dessus de l'eau,,,,,Coll Schlichting,
988,S N ,"""prudhon"" pierre", (17=18-1823) ,eutorpe pandore vénus eros à genoux minerve eros dans les airs — à dessins dans 1 grands cadres en hauteur,,,,,Esc T T,
989,749 ,"""prudhon"" pierre", (17=18-1823) ,diane priant jupiter de ne pas l'assujétir aux lois de l'hymen esquisse du plafond de la salle grecque ,,,,N,XVI,
990, ,"""prudhon"" pierre", (17=18-1823) ,même sujet que le précédent plafond,,,,,S Grecque,
991, ,"""prudhon"" pierre", (17=18-1823) ,deux génies des arts médaillon du plafond,,,,,S des Antonins,
992, ,Pujol abel alexandre denis de, ( 178s-18e» 1 ). ,médaillons hommes célèbres du xvlme siècle dessous de corniche,,,,,Musée Charles X S II,
993, ,Pujol abel alexandre denis de, ( 178s-18e» 1 ). ,plafond l'egypte sauvée par joseph — voussures joseph gardant les troupeaux vendu par ses frères  expliquant les songes de pharaon  élevé au gouvernement de l'egypte   grisailles au dessous de la corniche  scènes de la vie civile des egyptiens —,,,,,III,
994,195,Puvis de chavannes pierre, (1824-1 SQ8). ,jeunes filles au bord de la mer,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Pierre_Puvis_de_Chavannes_-_Young_Girls_by_the_Seaside_-_Google_Art_Project.jpg/1200px-Pierre_Puvis_de_Chavannes_-_Young_Girls_by_the_Seaside_-_Google_Art_Project.jpg,,Musée Charles X S III,data/images_paintings/994.jpg
995,761 a ,Raffet denis auguste marie, (1804-1800). ,soldat d'infanterie de la première république étude,,,,,Musée Charles X S III,
996,S N ,Raffet denis auguste marie, (1804-1800). ,la retraite de russie,,,,,Musée Charles X S III,
997,764 ,Raoux jean, (1677-1714). ,télémaquc raconte ses aventures à calypso,,,,S,XVI,
998,765 ,Raoux jean, (1677-1714). ,jeune fille lisant une lettre,,,,E,I,
999,S N ,Ravier auguste," (1814-180=,). ",le tibre à ostie le soir    ,44.0,30.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002306/01-005740a.jpg,,E F XIXe S 2e étage I,data/images_paintings/999.jpg
1000,S N ,Ravier auguste," (1814-180=,). ",l'étang de la levaz à morestcl ,,,,,E F XIXe S 2e étage I,
1001,S N ,Ravier auguste," (1814-180=,). ",les nuages  ,32.5,25.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002304/10-535630a.jpg,,E F XIXe S 2e étage I,data/images_paintings/1001.jpg
1002,S N ,Ravier auguste," (1814-180=,). ",les peupliers,38.0,24.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002300/08-522033a.jpg,,E F XIXe S 2e étage I,data/images_paintings/1002.jpg
1003,S N ,Ravier auguste," (1814-180=,). ",l'etang au bouquet d'arbres,34.0,42.0,,,E F XIXe S 2e étage II,
1004,S N ,Ravier auguste," (1814-180=,). ",les rochers de thuile ,40.5,52.0,,,E F XIXe S 2e étage II,
1005,S N ,Ravier auguste," (1814-180=,). ",vue de cremieu,,,,,Esc T T,
1006,S N ,Ravier auguste," (1814-180=,). ",le chemin creux environs de cremieu ef xixe,,,,,Musée Charles X S III,
1007,767 ,Regnault jean baptiste, (17=54-1829). ,le christ descendu de la croix,,,,N,XVI,
1008,768 ,Regnault jean baptiste, (17=54-1829). ,education d'achille par le centaure chiron,215.0,261.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Jean-Baptiste_Regnault_001.jpg/1200px-Jean-Baptiste_Regnault_001.jpg,O,I,data/images_paintings/1008.jpg
1009,769 ,Regnault jean baptiste, (17=54-1829). ,les trois grâces,153.5,204.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Regnault_-_Les_trois_Gr%C3%A2ces_01.jpg/1200px-Regnault_-_Les_trois_Gr%C3%A2ces_01.jpg,E,I,data/images_paintings/1009.jpg
1010,S N ,Regnault jean baptiste, (17=54-1829). ,l'amour et l'hymen à la source de la volupté,,,,,Coll Schlichting,
1011,196,Renoir pierre auguste, (1841-1019). ,fillette au chapeau de paille,35.0,45.0,https://upload.wikimedia.org/wikipedia/commons/1/1d/Renoir_-_Fillette_au_chapeau_de_paille%2C_vers_1908.gif,,Musée Charles X S III,data/images_paintings/1011.jpg
1012,1971,Renoir pierre auguste, (1841-1019). ,jeune fille assise,26.7,34.3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Pierre-Auguste_Renoir_-_Girl_Seated_in_a_Landscape_%28Jeune_fille_assise_dans_un_jardin%29_-_BF11_-_Barnes_Foundation.jpg/1200px-Pierre-Auguste_Renoir_-_Girl_Seated_in_a_Landscape_%28Jeune_fille_assise_dans_un_jardin%29_-_BF11_-_Barnes_Foundation.jpg,,Musée Charles X S III,data/images_paintings/1012.jpg
1013,198,Renoir pierre auguste, (1841-1019). ,la toilette femme se peignant,46.5,55.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Pierre-Auguste_Renoir_032.jpg/1200px-Pierre-Auguste_Renoir_032.jpg,,Musée Charles X S III,data/images_paintings/1013.jpg
1014,S N ,Renou antoine, (1731-1806) ,castor ou l'etoile du matin plafond,,,,,Galerie d'Apollon,
1015,775 ,Restout jean, (1692-1768). ,herminie chez les bergel,,,,N,XVI,
1016,778 ,Ricard louis gustave, (1824-1873). ,portrait de l'artiste par lui même,,,,,E F XIXe S 2e étage I,
1017,778 a ,Ricard louis gustave, (1824-1873). ,portrait du peintre heilbuth,,,,O,VIII,
1018,778 b ,Ricard louis gustave, (1824-1873). ,portrait de paul de musset ,,,,,E F XIXe S 2e étage I,
1019,778 c ,Ricard louis gustave, (1824-1873). ,portrait dwili5r ',,,,,E F XIXe S 2e étage I,
1020,778 d ,Ricard louis gustave, (1824-1873). ,etude de femme,,,,O,VIII,
1021,778 e ,Ricard louis gustave, (1824-1873). ,portrait de mille de calonne ,,,,S,VIII,
1022,779 ,Riesener henri françois, (1767-1828). ,portrait de m ravrio fabricant de bronzes,,,,,E F XIXe S 1er étage III,
1023,779 a ,Riesener louis antoine léon, (1808-1878). ,bacchante erigone,,,,,E F XIXe S 1er étage III,
1024,780 ,Rigaud y ros hyacinthe, (1659-1743). ,la présentation au temple,68.0,83.0,https://upload.wikimedia.org/wikipedia/commons/5/52/Pr%C3%A9sentation_au_temple_Rigaud.jpg,S,XIV,data/images_paintings/1024.jpg
1025,781 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait du roi louis xiv peint en 1701,,,,E,XIV,
1026,782 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait de philippe v roi d'espagne peint en 1700,,,,N,XIV,
1027,784 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait de marie serre mère de rigaud,,,,S,XVI,
1028,786 ,Rigaud y ros hyacinthe, (1659-1743). ,portraits des peintres charles le brun et pierre mignard,,,,S,XV,
1029,788 ,Rigaud y ros hyacinthe, (1659-1743). ,portraits de pierre frédéric léonard imprimeur du roi de sa femme marie anne des essarts et de leur fille marie anne,,,,S,XIV,
1030,789 ,Rigaud y ros hyacinthe, (1659-1743). ,portraits de rené laffitte beau frère de rigaud de claire madeleine rigaud sa femme et d'hyacinthe leur fille,,,,S,XVI,
1031,790 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait de robert de cotte premier architecte du roi intendant des bâtiments et directeur de la monnaie et des médailles,,,,,Esc Henri IV,
1032,791 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait du cardinal de polignac,,,,E,I,
1033,792 ,Rigaud y ros hyacinthe, (1659-1743). ,portrait de j f p de créqui duc de lesdiguières enfant,,,,O,I,
1034,794 ,Rigaud y ros hyacinthe, (1059-1743). ,portrait d'homme âgé,,,,E,I,
1035,795 ,Rigaud y ros hyacinthe, (1059-1743). ,portrait d'homme esquisse,,,,E,I,
1036,796 ,Rigaud y ros hyacinthe, (1059-1743). ,portrait de rigaud peignant le portrait de françois de castagner comte de clermont lodève,,,,S,XV,
1037,796 b ,Rigaud et sevin de la pennaye charles, (1685- 1741). ,portrait de jacques benigne bossuet évêque de meaux,,,,N,XIV,
1038,797 ,Robert hubert, (1733-1808). ,l'arc de triomphe de la ville d'orange,,,,,S des La Tour de St-Quentin,
1039,798 ,Robert hubert, (1733-1808). ,la maison carrée les arènes et la tour magne à nîmes,244.0,243.0,https://upload.wikimedia.org/wikipedia/commons/7/7f/Hubert_Robert_-_The_Maison_Car%C3%A9e%2C_the_Arenas_and_the_Magne_Tower_in_Nimes_-_WGA19601.jpg,,S des La Tour de St-Quentin,data/images_paintings/1039.jpg
1040,799 ,Robert hubert, (1733-1808). ,intérieur du temple de diane à nimes,242.0,242.0,https://upload.wikimedia.org/wikipedia/commons/2/2d/Int%C3%A9rieur_du_Temple_de_Diane_%C3%A0_N%C3%AEmes_%28Hubert_Robert%2C_Louvre%29.jpeg,E,XV,data/images_paintings/1040.jpg
1041,800 ,Robert hubert, (1711-1808). ,vue du pont du gard,,,,E,XV,data/images_paintings/1041.jpg
1042,801 ,Robert hubert, (1711-1808). ,ruines antiques,45.5,37.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hubert_Robert_Draughtsmen_In_a_Landscape_with_Antique_Ruins.jpg/1200px-Hubert_Robert_Draughtsmen_In_a_Landscape_with_Antique_Ruins.jpg,,V,data/images_paintings/1042.jpg
1043,802 ,Robert hubert, (1711-1808). ,l'ancien portique de marc aurèle iii1,,,,,Ire S Meubles XVIIIe,
1044,803 ,Robert hubert, (1711-1808). ,le portique d'octavie à rome servant de marché aux poissons  ,,,,S,II,
1045,804 ,Robert hubert, (1711-1808). ,temple circulaire surmonté d'un pigeonnier,,,,E,XVI,
1046,805 ,Robert hubert, (1711-1808). ,vue d'un parc iv,,,,,Ire S Meubles XVIIIe,
1047,806 ,Robert hubert, (1711-1808). ,ruines antiqucs,,,,,V,
1048,807 ,Robert hubert, (1711-1808). ,ruines d'un portique,,,,S,XVI,
1049,808 ,Robert hubert, (1711-1808). ,ruines d'un teiiiple,,,,S,XVI,
1050,809 ,Robert hubert, (1711-1808). ,paysage la cascadc,,,,N,XVI,
1051,810 ,Robert hubert, (1711-1808). ,intérieur de parc,,,,N,XVI,
1052,813 ,Robert hubert, (1711-1808). ,escalier tournant sur les marches duquel se voient trois figures de bout ,,,,O,I,
1053,814 ,Robert hubert, (1711-1808). ,paysage les chanteurs ambulants,,,,O,I,
1054,815 ,Robert hubert, (1711-1808). ,les cascatelles de tivoli ,,,,O,I,
1055,S N ,Robert hubert, (1711-1808). ,projet d'éclairage de la grande galerie du louvre,,,,S,XVI,
1056,816 ,Robert léopold louis, (1794-1835). ,l'arrivée des moissonneurs dans les marais pontins,212.0,141.7,https://upload.wikimedia.org/wikipedia/commons/5/58/L%27arriv%C3%A9e_des_moissonneurs_dans_les_marais_Pontins_par_Louis_L%C3%A9opold_Robert.jpg,,E F XIXe S 2e étage I,data/images_paintings/1056.jpg
1057,817 ,Robert léopold louis, (1794-1835). ,le retour du pèlerinage à la madone de l'arc,,,,,E F XIXe S 2e étage I,
1058,2982 ,Robert fleury joseph nicolas, (1797-1890). ,colloque de poissy 1561,,,,,E F XIXe S 2e étage II,
1059,2984 ,Robert fleury joseph nicolas, (1797-1890). ,christophe colomb reçu par ferdinand et isabelle la catholique à son retour d'amérique,,,,,Esc T T,
1060,820 ,Roslin alexandre, (1718-1793). ,jeune fille ornant la statue de l'amour d'une guirlande de tleurs,,,,,IIe S Meubles XVIIIe,data/images_paintings/1060.jpg
1061,824 a ,Roslin alexandre, (1718-1793). ,portrait du peintre etiennejeaurat,,,,E,XVI,
1062,824 b ,Roslin alexandre, (1718-1793). ,portrait de marmontel,,,,,S Blarenberghe,
1063,826 ,Roslin alexandre, (1718-1793). ,portrait de l'artiste par lui même,,,,E,XVI,
1064,S N ,Roslin alexandre, (1718-1793). ,portrait de marie amélie duchesse de parme sœur de marie antoinette attribué,,,,,Coll Schlichting,
1065,S No ,Roslin madame, ( 1734-1772). ,portrait du sculpteur pigalle pastel,,,,,IVe S Meubles XVIIIe,
1066,826 a ,Rouget georges, (1784-1869). ,portrait de mr de cailleux secrétaire général des musées membre de l'institut,,,,O,I,
1067,827 ,Rousseau théodore, 1812-1867). ,sortie de la forêt de fontainebleau du côté de brôle coucher de soleil,,,,E,VIII,
1068,828 ,Rousseau théodore, 1812-1867). ,lisière d'une forêt esquisse,,,,,E F XIXe S 1er étage I,
1069,829 ,Rousseau théodore, 1812-1867). ,le vieux dormoir du bas bréau dans la forêt de fontainebleau,,,,,E F XIXe S 2e étage I,
1070,830 ,Rousseau théodore, 1812-1867). ,le marais dans les landes,97.0,63.0,https://upload.wikimedia.org/wikipedia/commons/9/94/Th%C3%A9odore_Rousseau_-_Marsh_in_the_Landes_-_WGA20166.jpg,,E F XIXe S 2e étage I,data/images_paintings/1070.jpg
1071,831 ,Rousseau théodore, 1812-1867). ,bord de rivière,34.5,27.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002465/02-013192.jpg,,E F XIXe S 2e étage I,data/images_paintings/1071.jpg
1072,832 ,Rousseau théodore, 1812-1867). ,effet d'orage ,35.5,23.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002470/92-001883.jpg,,E F XIXe S 2e étage II,data/images_paintings/1072.jpg
1073,S Nu ,Rousseau théodore, 1812-1867). ,l'allée de châtaigniers au château de souliers,,,,,E F XIXe S 2e étage II,
1074,2896 ,Rousseau théodore, 1812-1867). ,bords de la loire,63.5,42.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002452/90-001696.jpg,,T T,data/images_paintings/1074.jpg
1075,2897 ,Rousseau théodore, 1812-1867). ,le passeur,20.6,15.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002473/11-531233.jpg,,T T,data/images_paintings/1075.jpg
1076,2898 ,Rousseau théodore, 1812-1867). ,le coteau,17.0,17.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002474/11-531234.jpg,,T T,data/images_paintings/1076.jpg
1077,2899 ,Rousseau théodore, 1812-1867). ,paysage avec animaux   t t s27 rousseau b,,,,,S ANTERKE,
1078,2900 ,Rousseau théodore, (1812-1867). ,les chênes,99.5,63.5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ch%C3%AAnes_Apremont_by_Rousseau_Louvre_RF1447_n1.jpg/1200px-Ch%C3%AAnes_Apremont_by_Rousseau_Louvre_RF1447_n1.jpg,,T T,data/images_paintings/1078.jpg
1079,2901 ,Rousseau théodore, (1812-1867). ,la plaine des pyrénées,27.5,23.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002456/92-001694.jpg,,T T,data/images_paintings/1079.jpg
1080,2902 ,Rousseau théodore, (1812-1867). ,village sous les arbres,59.0,73.2,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002457/01-003888.jpg,,T T,data/images_paintings/1080.jpg
1081,833 ,Saint jean simon, (1808-1860). ,les fleurs dans les ruines,,,,,E F XIXe S 2e étage I,
1082,834 ,Saint jean simon, (1808-1860). ,la récolte  raisins pêches prunes et melons,,,,,E F XIXe S 2e étage I,
1083,834 a ,Saint jean simon, (1808-1860). ,fleurs roses,,,,,E F XIXe S 1er étage II,
1084,835 ,Santerre jean baptiste, (1658-1717). ,suzanne au bain ,145.0,205.0,https://upload.wikimedia.org/wikipedia/commons/0/04/Jean-Baptiste_Santerre_-_Susanna_at_the_Bath_-_WGA20815.jpg,S,XVI,data/images_paintings/1084.jpg
1085,838 ,Scheffer ary, (1795-1858). ,la mort de géri» cault,,,,,E F XIXe S 1er étage I,
1086,839 ,Scheffer ary, (1795-1858). ,les femmes souliotes  ,359.5,261.5,https://upload.wikimedia.org/wikipedia/commons/f/fb/The_Souliot_Women_1827.jpg,O,VIII,data/images_paintings/1086.jpg
1087,841 ,Scheffer ary, (1795-1858). ,saint augustin et sa mère sainte monique,114.3,146.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002502/09-516678.jpg,,E F XIXe S 1er étage III,data/images_paintings/1087.jpg
1088,842 ,Scheffer ary, (1795-1858). ,le chri 842 — le christ au roseau,,,,,Marine,
1089,842 a ,Scheffer ary, (1795-1858). ,portrait de villemain,,,,,E F XIXe S 1er étage II,
1090,842 b ,Scheffer ary, (1795-1858). ,portrait de lamennais,,,,,Marine,
1091,842 c ,Scheffer ary, (1795-1858). ,portrait de melle de fauveau,,,,,E F XIXe S 1er étage II,
1092,S Nu ,Scheffer ary, (1795-1858). ,les ombres de françoise de rimini et de son amant apparaissent au dante et à virgile,,,,,E F XIXe S 1er étage III,
1093,843 ,Schnetz jean victor, (1787-1870). ,vœu à la madone,490.0,282.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002507/86-001655-02a.jpg,E,VIII,data/images_paintings/1093.jpg
1094,845 a ,Servin elie amédée, (1829-1886). ,le puits de mon charcutier,71.4,100.2,,,E F XIXe S 2e étage II,
1095,847 ,Sigalon xavier, (1788-1837). ,la jeune courtisane,,,,,E F XIXe S 2e étage II,
1096,200 ,Paris musée national du louvre 69  199 sisley, (1839-1899). ,l'inondation à port marly 1876,,,,,Musée Charles X S III,
1097,201 ,Paris musée national du louvre 69  199 sisley, (1839-1899). ,la barque pendant l'inondation,,,,,Musée Charles X S III,
1098,202,Paris musée national du louvre 69  199 sisley, (1839-1899). ,la route à l'orée du bois,,,,,Musée Charles X S III,
1099,203,Paris musée national du louvre 69  199 sisley, (1839-1899). ,la neige à louveciennes,,,,,Musée Charles X S III,
1100,204 ,Paris musée national du louvre 69  199 sisley, (1839-1899). ,temps de neige à veneux n adon  — 205 printemps trembles et acacias,,,,,Musée Charles X S III,
1101,1206,Paris musée national du louvre 69  199 sisley, (1839-1899). ,moret les bords du loing,,,,,Musée Charles X S III,
1102,849 ,Stella jacques, (1596-1657). ,jésus christ recevant la vierge dans le ciel,,,,O,XIV,
1103,851 ,Stella jacques, (1596-1657). ,sainte cécile jouant de l'orgue,33.0,35.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002565/96de7415.jpg,O,XIV,data/images_paintings/1103.jpg
1104, ,Steuben charles, (1788-1856). ,plafond bataille d'ivry clémence de henri iv après la victoire — voussures médaillons contenant des portraits ou blasons d'hommes célèbres du règne de henri iv ,,,,,Céramique antique II,
1105,853 ,Subleyras pierre, (1699-1749). ,la madeleine aux pieds du christ chez simon le pharisien,,,,O,XVI,
1106,854 ,Subleyras pierre, (1699-1749). ,la madeleine aux pieds de jésus christ chez simon le pharisien esquisse    ,,,,S,XVI,
1107,856 ,Subleyras pierre, (1699-1749). ,le martyre de saint pierre,81.5,136.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002581/87ee2099.jpg,S,XVI,data/images_paintings/1107.jpg
