,number,author,life,title,position
1249,856 ,"Subleyras, Pierre.", (1699-1749). ,Le martyre de saint Pierre ,XVI-S
1250,857 ,"Subleyras, Pierre.", (1699-1749). ,"La messe de saint Basile. , , , ",XVI-N
1251,858 ,"Subleyras, Pierre.", (1699-1749). ,L'empereur Théodose recevant la bénédiction de saint Ambroise.,XVI-N
1252,859 ,"Subleyras, Pierre.", (1699-1749). ,Saint Benoît ressuscitant un entant. ,XVI-N
1253,861 ,"Subleyras, Pierre.", (1699-1749). ,Le faucon (conte de La Fontaine) ,XVI-N
1254,863 ,"Taraval, Hugues.", (1729-17851. ,Le triomphe d'Amphitrite ,S. des La Tour de St.-Quentin
1255,* ,"Taraval, Hugues.", (1729-17851. ,L'automne ou le triomphe de Bacchus; plafond.,Gai. d'Apollon
1256,S. N° ,"Tassaert, Octave", (1800-1874). ,"Une famille malheureuse. , , , , ","E. F. XIXe S. 2"" étage II"
1257,* ,"Ternante, Amédée Lemaire de", (né vers 1835-? ) ,Portrait en pied de Marie dé Médicis d'après F. Porbus II',S. de la Colonnade
1258,"S. N"" ","Thiénon, Claude. (", 1772?-1846).—Paysage ,italien. ,XVI-E
1259,867 ,"Tocqué, Louis.", i 1696-1772). ,"Portrait de Marie Leczinska, reine de France. ",XVI-0
1260,868 ,"Tocqué, Louis.", i 1696-1772). ,"Portrait de Louis de France, dauphin, fils de Louis XV, à l'âge de ro ans. ",XVI-N
1261,868 a ,"Tocqué, Louis.", i 1696-1772). ,"Portrait de M"" Danger ",XVI-S
1264,(207) t ,"Toulouse-Lautrec, Henri de", (1864-1901). ,La clownesse (Melle Cha-u-ka-o),Coll. Camondo
1265,S. N° ,"Toulouse-Lautrec, Henri de", (1864-1901). ,Portrait de Paul Leclerq,S. des dessins XIXe
1266,879 ,"Tournemine, Charles-Emile de", (1814-1873). ,Eléphants d'Afrique. ,E. F. XIXe S. 2e étage II
1267,880 ,"Tournemine, Charles-Emile de", (1814-1873). ,Habitations turques près Adalia (Asie-Mineure),E. F. XIXe S. 2e étage II
1268,883 ,"Troy, Jean-François de.", (1679-1752). ,"Premier Chapitre de l'Ordre du Saint-Esprit, tenu par Henri IV, dans l'église du couvent des GrandsAugustins à Paris, le 8 janvier 1595. ",XVI-S
1274,889 ,"Troyon, Constant.", (1810-1865). ,Bœufs se rendant au labour. Effet du matin ,VIII-E
1275,890 ,"Troyon, Constant.", (1810-1865). ,Le retour à la ferme. ,VIII-E
1276,2906 ,"Troyon, Constant.", (1810-1865). ,L'abreuvotr ,T. T.
1277,2907 ,"Troyon, Constant.", (1810-1865). ,La provende des poules ,T. T.
1278,2908 ,"Troyon, Constant.", (1810-1865). ,Troupeau de moutons. ,T. T.
1279,2909 ,"Troyon, Constant.", (1810-1865). ,Le matin ,T. T.
1280,2910 ,"Troyon, Constant.", (1810-1865). ,Vaches à l'abreuvoir. ,T. T.
1281,2911 ,"Troyon, Constant.", (1810-1865). ,Le petit troupeau. ,T. T.
1282,2912 ,"Troyon, Constant.", (1810-1865). ,Le passage du gué. ,T. T.
1283,2913 ,"Troyon, Constant.", (1810-1865). ,La gardeuse de dindons ,T. T
1284,2914 ,"Troyon, Constant.", (1810-1865). ,La barrière ,T. T.
1285,2915 ,"Troyon, Constant.", (1810-1865). ,La rencontre des troupeaux. ,T. T.
1286,2916 ,"Troyon, Constant.", (1810-1865). ,Les hauteurs de Suresnes ,T. T.
1287,(116) ,"Troyon, Constant.", (1810-1865). ,Berger ramenant son troupeau,Coll. Chauchard 1
1289,119) ,"Troyon, Constant.", (1810-1865). ,En route pour le marché,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — 1
1290,(121) ,"Troyon, Constant.", (1810-1865). ,Le retour à la ferme.,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — IV
1291,(122) ,"Troyon, Constant.", (1810-1865). ,Le garde-chasse arrêté près de ses chiens,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — 1
1292,(123) ,"Troyon, Constant.", (1810-1865). ,Le garde-chasse conduisant un relais,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — galerie
1293,(124) ,"Troyon, Constant.", (1810-1865). ,Le retour du marché.,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — galerie
1294,(125) ,"Troyon, Constant.", (1810-1865). ,Les bœufs allant au labour ,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — 1
1295,(126) ,"Troyon, Constant.", (1810-1865). ,La vache rousse broutant ,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — IV
1296,(127) ,"Troyon, Constant.", (1810-1865). ,La vache blanche au pâturage,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — IV
1297,(128) ,"Troyon, Constant.", (1810-1865). ,La mare aux canards.,Coll. Chauchard galerie i 120) — Le pâturage à la gardeuse d'oies — 1
1299,1130) ,"Troyon, Constant.", (1810-1865). ,Pâturage. Vallée de la Toucques galerie ( 131 ) — Vaches au repos — II il32),— La vache blanche qui se gratte galerie
1300,(133 ,"Troyon, Constant.", (1810-1865). ,Le passage du gué.,— La vache blanche qui se gratte galerie
1302,890 a ,"Trutat, Félix.", (1824-1848). ,Femme nue. ,E. F. XIXe S. 2e étage II
1303,892 ,"Valenciennes, Pierre-Henri", (1750-1819). ,"Cicéron étant questeur en Sicile, découvre le tombeau d'Archimède ","E. F. XIXe S. 1er étage 1 Valentin, Le. Voir Boulongne, Jean de."
1304,893 ,"Vallayer-Coster, Mille Anne", (1744-1818). ,Les attributs de la peinture et de la sculpture.,IVe S. Meubles XVIIIe
1305,894 ,"Vallayer-Coster, Mille Anne", (1744-1818). ,Les attributs de la musique,IVe S. Meubles XVIIIe
1306,895 ,"Van Loo, Jean-Baptiste.", ( 1684-1745). ,"Institution de l'Ordre du Saint-Esprit par Henri III, dans l'église du couvent des Grands-Augustins à Paris, le 31 décembre i) 78. ",XVI-S
1307,899 ,"Van Loo, Charles-André, dit Carie.", (1705-1765). ,Un déjeuner de chasse. ,XV-S
1308,900 ,"Van Loo, Charles-André, dit Carie.", (1705-1765). ,"Portrait de Marie Leczinska, reine de France. lre",S. Meubles XVIIIe
1309,S. N° ,"Van Loo, Charles-André, dit Carie.", (1705-1765). ,"Portrait de Marie Leczinska, reine de France.",Coll. Schlichting
1310,902 ,"Van Loo, Louis-Michel.", (1707-1 ï7 1). ,Portrait de l'architecte Jacques-Germain Soufflot. ,XVI-N
1311,S. N° ,"Van Loo, Louis-Michel.", (1707-1 ï7 1). ,Portrait de Benoit Loys,Vest. S. anglaises
1312,S. N° ,"Van Loo, Louis-Michel.", (1707-1 ï7 1). ,Portrait de Diderot. ,XVI-S
1313,905 ,"Van Loo, Charles-Amédée-Philippe", (1719-1795). ,Toilette d'une Sultane. ,XVI-N
1314,910 ,"Verdier, François.", (1651-1730). ,Mercure endormant Argus ,XVI-S
1315,912 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Le naufrage ,Esc. Henri IV
1316,918 ,"Vernet, Claude-Joseph.", (1714-1789). ,Paysage. Le matin.  : lre,S. Meubles XVIIIe
1317,918 a ,"Vernet, Claude-Joseph.", (1714-1789). ,"Paysage. Le midi, effet d'orage ",— Q2 1 C. J. VERNET 961 VESTIER
1318,919 ,"Vernet, Claude-Joseph.", (1714-1789). ,Paysage. Le soir. 1er,S. Meubles XVIIIe
1319,920 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. La nuit.,S. Meubles XVIIIe
1320,921 ,"Vernet, Claude-Joseph.", (1714-1789). ,Paysage. Les baigneuses. ,XVI-E
1321,923 ,"Vernet, Claude-Joseph.", (1714-1789). ,Paysage. Construction d'un grand chemin. ,XVI-E
1322,924 ,"Vernet, Claude-Joseph.", (1714-1789). ,Vue des cascatelles de Tivoli ,Marine
1323,927 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Le midi ou le calme ,Marine
1324,928 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Le soir ou la tempête,Marine
1325,930 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Effet de clair de lune.   ,XVI-S
1326,931 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Le midi. ,XVI-N
1327,932 ,"Vernet, Claude-Joseph.", (1714-1789). ,Marine. Effet de soleil couchant. ,XVI-S
1328,935 ,"Vernet, Claude-Joseph.", (1714-1789). ,"Vue du pont et du château Saint-Ange, à Rome ",XVI-N
1344,956 ,"Vernet, Emile-Jean-Horace.", ^1789-18631. ,"La barrière de Clichy; défense de Paris, en 1814 ",E. F. XIXe S. 2e étage II
1345,958 a ,"Vernet, Emile-Jean-Horace.", ^1789-18631. ,"Portrait de Jean-Baptiste Isabey, peintre en miniature ",E. F. XIXe S. 1er étage III
1346,959 ,"Vestier, Antoine.", (1740-1824). ,Portrait de la femme du peintre ,XVI-S
1347,961 ,"Vestier, Antoine.", (1740-1824). ,Portrait de jeune femme ,I-E
1348,963 ,"Vestier, Antoine.", (1740-1824). ,Portrait du peintre Gabriel François Doyen ,XVI-E
1349,964 ,"Vien, Joseph-Marie, comte.", (1716-1809). ,"Saint Germain, évêque d'Auxerre, et saint Vincent, diacre de l'église de Saragosse ",XV-N
1351,968 ,"Vincent, François-André.", (1746-1816). ,Zeuxis choisissant pour modèles les plus belles filles de la ville de Crotone. ,XVI-S
1352,* ,"Vinchon, Auguste - Jean-Baptiste", (1789-1855) ,"et Gosse, Nicolas-Louis-François. (1787-1877). - Huit bas-reliefs, grisailles : Sculpteur grec, Apelle, Phidias, Orphée, Poète dramatique et acteur, Origine du chapiteau corinthien, Origine du dessin, Décadence des arts en Grèce. Dessous de corniche","Musée Charles X, salle IV"
1353,* ,"Vinchon, Auguste - Jean-Baptiste", (1789-1855) ,"Huit bas-reliefs, grisailles: Pline observant le Vésuve, Prêtres de Pompei, Habitants fuyant de Pompei, Le Vésuve renversant les villes de la Campanie, Philosophe cynique, Anacréon, Jeune fille et sorcière, Toilette. Dessous de corniche","Musée Charles X, salle VII"
1354,* ,"Vinchon, Auguste - Jean-Baptiste", (1789-1855) ,"Onze bas-reliefs, grisailles, représentant différentes scènes de [a vie civile des anciens. Dessous de la corniche. — Angles des voussures : débris de meubles trouvés à Pompei et Herculanum. — salle VIII — Huit bas-reliefs, grisailles : Homère chantant, Honneurs rendus à Homère, Départ d'Ulysse, Ulysse chez Circé, Ulysse reconnu par Pénélope, Thétis consolant Achille, Thétis donnant des armes à Achille, Diomède blesse Vénus. Dessous de corniche.","Musée Charles X, salle IX"
1355,S. N° ,"Vivien, Joseph.", (1657-1735). ,Portrait du Duc de Bourgogne. Pastel.,S. des Pastels
1356,S. N° ,"Vivien, Joseph.", (1657-1735). ,"Portrait du duc de Bourgogne en cuirasse, décoré de l'Ordre du Saint Esprit. Pastel.",S. des Pastels
1357,969 ,"Voiriot, Guillaume,", (1713- 1799). ,Portrait du peintre Jean-Marc Nattier. ,XVI-S
1358,971 ,"Vouet, Simon.", (1590-1649). ,La présentation de Jésus au temple XIV-0,XVI-S
1359,972 ,"Vouet, Simon.", (1590-1649). ,"La Vierge, l'Enfant Jésus et saint Jean. ",XII
1360,973 ,"Vouet, Simon.", (1590-1649). ,Le Christ en croix ,XIV-N
1363,977 ,"Vouet, Simon.", (1590-16191. ,La Richesse ,XIV-S
1364,978 ,"Vouet, Simon.", (1590-16191. ,La Foi ,XIV-S
1365,979 ,"Vouet, Simon.", (1590-16191. ,"La Victoire, debout, tenant une couronne de laurier. , ",XIV-S
1366,980 ,"Vouet, Simon.", (1590-16191. ,"L'Eloquence , ",I-E
1367,982 ,"Watteau, Jean-Antoine.", (1684-1721). ,L'Embarquement pour l'île de Cythère ,XVI-N
1368,983 ,"Watteau, Jean-Antoine.", (1684-1721). ,Gilles.  ,1-0
1369,985 ,"Watteau, Jean-Antoine.", (1684-172 r). ,La Finette ,1-0
1370,986 ,"Watteau, Jean-Antoine.", (1684-172 r). ,Assemblée dans un parc. ,1-0
1371,988 ,"Watteau, Jean-Antoine.", (1684-172 r). ,"Le jugement de Paris, esquisse. ",1-0
1372,989 ,"Watteau, Jean-Antoine.", (1684-172 r). ,"Le faux-pas, esquisse ",1-0
1373,990 ,"Watteau, Jean-Antoine.", (1684-172 r). ,"L'automne, esquisse ",1-0
1374,991 ,"Watteau, Jean-Antoine.", (1684-172 r). ,Jupiter et Antiope. ,1-0
1375,992 ,"Watteau, Jean-Antoine.", (1684-172 r). ,"Pastorale, esquisse (Attribué). ",1-0
1377,S. N° ,"Watteau, Jean-Antoine.", (1684-172 r). ,Portrait d'homme âgé. ,XVI-N
1378,993 a ,"Winterhalter, F. Xavier", (1806-1873). ,Portrait de Mme Rimsky-Korsakow. ,E. F. XIXe S. 1er étage II
1379,S. N° ,"Winterhalter, F. Xavier", (1806-1873). ,Portrait de l'Impératrice Eugénie,E. F. XIXe S. 1er étage III
1381,(134) ,"Ziem, Félix.", ( 1821-1911 ). ,-Grand voilier en vue de Venise,"Coll. Chauchard, galerie 1^135' — Le Palais ducal, à Venise — 1"
1382,(136) ,"Ziem, Félix.", ( 1821-1911 ). ,"Venise, la Giudecca","Coll. Chauchard, galerie 1^135' — Le Palais ducal, à Venise — 1"
1383,(137) ,"Ziem, Félix.", ( 1821-1911 ). ,L'embarcadère au Palais Ducal,"Coll. Chauchard, galerie 1^135' — Le Palais ducal, à Venise — galerie"
1384,(1381 ,"Ziem, Félix.", ( 1821-1911 ). ,Venise. Le grand canal près de,"Coll. Chauchard, galerie 1^135' — Le S. M. della Salute. — galerie"
1385,(139) ,"Ziem, Félix.", ( 1821-1911 ). ,"Barque à Venise, le soir","Coll. Chauchard, galerie 1^135' — Le S. M. della Salute. — 1"
1386,(140 ,"Ziem, Félix.", ( 1821-1911 ). ,"Un caïque, Constantinople.","Coll. Chauchard, galerie 1^135' — Le S. galerie INCONNUS DE L'ÉCOLE FRANÇAISE"
1387,994 ,Règne de Charles VI, (1380-1422). ,"Panneau peint des deux côtés. Sur une face, saint Pierre et saint Paul ;sur l'autre, la flagellation du Christ. Fragment de retable. ",X
1388,996 ,Règne de Charles VI, (1380-1422). ,"Le Christ mort soutenu par le Père Eternel, pleuré par la Vierge, saint Jean et les anges.","— Au revers : les armes de Bourgogne (peut- être par Jean Malouel, peintre du duc de Bourgogne, t 1415) X vitrine"
1389,996 a ,Règne de Charles VI, (1380-1422). ,Une «Pitié» de Notre-Seigneur.,"— Au revers: les clous et la couronne d'épines. Forme ronde (Ecole de l'Ile de France, entre 1390 et 1410). X vitrine"
1390,997 ,Règne de Charles VI, (1380-1422). ,"La mise au tombeau, , ",X
1391,S. N° ,Règne de Charles VI, (1380-1422). ,"La Vierge à l'écritoire, vers 1400. ",X
1460,1107 ,"Albani, Francesco, dit l'Albane.", (1578-1660). ,La toilette de Vénus ,VI tr. B-N
1461,1109 ,"Albani, Francesco, dit l'Albane.", (1578-1660). ,Les amours désarmés ,VI tr. B-N
1462,1111 ,"Albani, Francesco, dit l'Albane.", (1578-1660). ,Diane et Actéon ,VI tr. B-N
1463,1113 ,"Albani, Francesco, dit l'Albane.", (1578-1660). ,Salmacis et Hermaphrodite ■ ,VI tr. D-N
1464,1114 ,"Albertinelli, Mariotto,", (1474-1515). ,La Vierge et l'Enfant ,VI tr. A-N
1465,1115 ,"Albertinelli, Mariotto,", (1474-1515). ,Le Christ apparaissant à la Madeleine. ,VI tr. A-N
1466,1117 ,"Allegri, Antonio da Correggio, dit le Corrège", (1494- 1534). ,Mariage mystique de Sainte Catherine d'Alexandrie ,VI tr. C-S
1467,1118 ,"Allegri, Antonio da Correggio, dit le Corrège", (1494- 1534). ,L'Antiope. ,IV
1468,S. N° ,"Allegri, Antonio da Correggio, dit le Corrège", (1494- 1534). ,Allégorie des Vertus. Gouache ,VI tr. B-N
1469,1119 ,"Allori, Christoforo", (1577-1621). ,"Isabelle d'Aragon, aux pieds de Charles VIII, l'implore en faveur de son père et de son mari ",VI tr. B-N
1471,1121 ,"Amerighi, exactement Merisi, Michelangiolo da Caravaggio, dit Michel-Ange de Caravage", (vers 1560 ou 1500-1600). ,La mort de la Vierge ,VI tr. D-N
1472,1122 ,"Amerighi, exactement Merisi, Michelangiolo da Caravaggio, dit Michel-Ange de Caravage", (vers 1560 ou 1500-1600). ,La diseuse de bonne-aventure. ,VI tr. D-N
1473,1123 ,"Amerighi, exactement Merisi, Michelangiolo da Caravaggio, dit Michel-Ange de Caravage", (vers 1560 ou 1500-1600). ,Concert ,VI tr. D-N
1474,1124 ,"Amerighi, exactement Merisi, Michelangiolo da Caravaggio, dit Michel-Ange de Caravage", (vers 1560 ou 1500-1600). ,"Portait d'Alof de Wignacourt, grand-maître de Malte en 1601 ",VI tr. D-N
1475,1126 ,"Angeli, Filippo d', dit Le Napolitain", (1600-1660). ,Le satyre et le paysan. ,VI tr. D-N
1476,1127 ,"Angeli, Giuseppe", (1715?-!795?). ,"Le petit tambour. VI tr. D-N Angelico, Fra; voir Fiesole. 1128 Ansano ou Sano di Pietro (1406-1481).",— Songe de saint Jérôme VII-0
1477,1129 ,"Angeli, Giuseppe", (1715?-!795?). ,Saint Jérôme agenouillé dans le désert ,VII-0
1478,1130 ,"Angeli, Giuseppe", (1715?-!795?). ,Saint Jérôme et le lion. ,VII-0
1479,1131 ,"Angeli, Giuseppe", (1715?-!795?). ,Mort de saint Jérôme. ,VII-0
1480,1132 ,"Angeli, Giuseppe", (1715?-!795?). ,"Apparition de saint Jérôme à Sulpice Sévère, et apparition de saint Jérôme et de saint Jean à saint Augustin. ",VII-0
1481,1134 ,"Antonello degli Antoni, dit Antonello de Messine", (1430-1479). ,"Portrait d'homme, dit le Condottiere ",VI tr. A-S
1482,S. Nu ,"Antoniazzo Romano, Ant. Aquili dit", (2TUE moitié du XVe siècle). ,La Vierge et l'Enfant. ,VI tr. A-N
1483,1134 b ,"Baldovinetti, Alessio", (1427-1499). ,La Vierge et l'Enfant. ,VII-E
1484,1571 ,"Balducci, Matteo", (commencement du XVIe siècle). ,Le jugement de Salomon. (Attribué). ,VI tr. A-N
1485,1572 ,"Balducci, Matteo", (commencement du XVIe siècle). ,Le jugement de Daniel. (Attribué)-. ,VI tr. A-N
1486,1135 ,"Barbarelli, Giorgio, dit Il Giorgione", (1477 ou 1478- 1510). ,Sainte Famille ,VI tr. B-S
1487,1136 ,"Barbarelli, Giorgio, dit Il Giorgione", (1477 ou 1478- 1510). ,Concert champêtre. ,VI tr. C-S
1490,1139 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,La résurrection de Lazare ,VI tr. B-N
1491,1141 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Vision de saint Jérôme ,VI tr. B-N
1492,1142 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Saint Benoît et saint François d'Assise ,VI tr. B-N
1493,1143 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Les Saints protecteurs de la ville de Modène ,IV
1494,1146 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Hersilie séparant Romulus et Tatius. ,VI tr. B-N
1495,1147 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Circé ,VI tr. D-N
1496,1148 ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,"Portrait du Guerchin, par lui-même ",VI tr. B-N
1497,S. N° ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Loth et ses filles  ,VI tr. D-N
1498,S. No ,"Barbieri, Giovanni-Francesco, dit Le Guerchin", (1591-1666). ,Salomé recevant la tête de saint Jean-Baptiste. ,VI tr. D-N
1499,1149 ,"Barocci, Federigo, dit le Baroche", (1528-1612). ,La Circoncision. ,IV
1500,1151 ,Bartolo di Maestro Fredi., ( 1330?-14 10). ,La Présentation au temple. ,VII-S
1501,1622 ,"Bartolo, Taddeo di", (vers 1363- vers 1436). ,"La Crucifixion et saint François à genoux. VII-S Bartolo, Sebastiano di, dit Bastiano Mainardi; voir Mainardi. 1153 Bartolommeo di Paolo del Fattorino, Fra, dit Baccio della Porta. (1472-1517).",— L'Annon- ciation VI tr. A-N
1502,1154 ,"Bartolo, Taddeo di", (vers 1363- vers 1436). ,Mariage mystique de Ste. Catherine. ,VI tr. B-N
1503,1416 a ,"Bartolommeo di Giovanni, dit Alunno di Domenico.", (travaillait de i j80 à 1500). ,Noces de Thétis et de Pélée. ,VII-E
1506,S. NI ,"Batoni ou Battoni, Pompeo-Girolamo.", (1708-1787). ,Le retour de l'enfant prodigue esc. Henri ,II
1507,S. N° ,"Bazzi, Giovanni Antonio, dit Il Sodoma.", (1177-1510)- ,Sujet allégorique: L'Amour et la Chasteté.,Coll. Schlichting
1508,1158 ,"Bellini, Giovanni,", (vers 1430-1516). ,La Vierge entre St. Pierre et St. Sébastien (Ecole de) ,VI tr. A-S
1509,1158 j ,"Bellini, Giovanni,", (vers 1430-1516). ,"Portrait d'homme vu jusqu'aux épaules, de trois quarts à gauche ",VI tr. A-S
1510,1159 ,"Bellini, Giovanni,", (vers 1430-1516). ,"La Vierge, l'Enfant et saint Sébastien (Ecole de) ",VI tr. A-S
1511,S. N° ,"Bellini, Giovanni,", (vers 1430-1516). ,Le Sauveur bénissant (Reproduit). ,VI tr. A-S
1512,S. No ,"Bellini, Giovanni,", (vers 1430-1516). ,La Vierge au Donateur.,Coll. Schlichting
1513,1160 ,"Berrettini da Cortona, Pietro, dit Pierre de Cor- tone", (1596-1669). ,Alliance de Jacob et de Laban ,VI tr. D-N
1514,1161 ,"Berrettini da Cortona, Pietro, dit Pierre de Cor- tone", (1596-1669). ,La Nativité de la Vierge VI tr. B-N 1163.,"— La Vierge et l'Enfant, avec Ste. Martine. VI tr. B-N"
1515,1164 ,"Berrettini da Cortona, Pietro, dit Pierre de Cor- tone", (1596-1669). ,"La Vierge et l'Enfant, avec Ste. Martine. ",VI tr. B-N
1516,1165 ,"Berrettini da Cortona, Pietro, dit Pierre de Cor- tone", (1596-1669). ,Romulus et Rémus ,VI tr. B-N
1517,1166 ,"Berrettini da Cortona, Pietro, dit Pierre de Cor- tone", (1596-1669). ,La rencontre d'Enée et de Didon ,VI tr. B-N
1518,1167 ,"Bianchi Ferrari, Francesco de'", (vers 1460-1510). ,"La Vierge et l'Enfant avec deux anges, saint Quentin et saint Benoît (Attribué). ",VI tr. A-N
1519,1274 ,"Bianchi Ferrari, Francesco de'", (vers 1460-1510). ,"Saint Jean-Baptiste, enfant ",VII-0
1520,S. N° ,"Bissolo, Francesco", ( ? - 1554). ,Portrait du poète et humaniste Giorgio Trissino.,Coll. Schlichting
1521,1437 ,"Boateri, Jacopo", (commencement du XVIme siècle). ,La Vierge et l'Enfant. ,VI tr. A-N
1522,1169 ,"Boltraffio ou Beltraffio, Giovanni-Antonio"," (1167-, 1516). ",La Vierge de la famille Casio. ,VI tr. B-S
1523,1170 ,Bonifazio de' Pitati, (1487-1553). ,La résurrection de Lazare ,VI tr. B-S
1524,1171 ,Bonifazio de' Pitati, (1487-1553). ,Sainte Famille. ,VI tr. D-N
1525,1172 a ,Bonifazio de' Pitati, (1487-1553). ,Le Christ et la femme adultère. ,VI tr. B-N
1526,1175 ,"Bonvicino, Alessandro, dit Moretto de Brescia", (vers 1498-1554). ,"Saint Bernardin de Sienne et saint Louis, évêque de Toulouse. ",VI tr. A-N
1527,1176 ,"Bonvicino, Alessandro, dit Moretto de Brescia", (vers 1498-1554). ,Saint Bonaventure et saint Antoine de Padoue. ,VI tr. A-N
1528,1178 ,"Bordone, Paris", (1500-1571). ,Vertumne et Pomone. ,VI tr. B-S
1529,1179 ,"Bordone, Paris", (1500-1571). ,Portrait de Jérôme Crafft ,VI tr. B-S
1530,1180 ,"Bordone, Paris", (1500-1571). ,Portrait d'homme et d'enfant (Attribué). ,VI tr. B-S
1531,1180 a ,"Bordone, Paris", (1500-1571). ,Portrait de femme ,VI tr. B-S
1533,1450 ,et, 1460-1523 ,?).,- La Circoncision. VI tr. A-S
1534,1182 ,et, 1460-1523 ,Saint Pierre de Vérone et une donatrice agenouillée ,VI tr. A-S
1535,1182 a ,et, 1460-1523 ,"Saint Augustin et un donateur VI tr. A-S Botticelli; voir Filipepi. 1482 Botticini, Francesco (1446-1498).",— La Vierge glori- euse entre saint Bernard et sainte Madeleine. VII-E
1536,(1) ,et, 1460-1523 ,La Vierge adorant l'Enfant Jésus.,Coll. Arconati-Visconti
1537,1183 ,"Bronzino, Agnolo di Cosimo, dit Il", (1502-1572). ,Le Christ et la Madeleine ,VI tr. B-N
1538,1185 ,"Calcar, Giovanni, ou Johan Stephan von Calcker.", (1449-vers 15.16). ,Portrait de Melchior von Brauweiler de Cologne ,VI tr. B-S
1539,1187 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,L'incendie de Sodome ,VI tr. B-S
1540,1188 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Suzanne et les vieillards. ,IV
1541,1189 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,L'évanouissement d'Esther ,IV
1542,1190 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,"Sainte Famille, avec St. Georges et Ste. Catherine. ",VI tr. B-S
1543,1191 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,"Sainte Famille, avec Ste. Madeleine. ",VI tr. B-S
1544,1191 a ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Jésus guérit la belle-mère de Pierre (Esquisse). ,VI tr. B-S
1545,1192 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Les noces de Cana. ,IV
1546,1193 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Le repas chez Simon le Pharisien ,IV
1547,1194 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Jésus-Christ succombe sous le poids de la croix. ,VI tr. B-S
1548,1195 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1588). ,Le Calvaire. ,VI tr. B-S
1549,1196 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,Les disciples d'EmmaÜs. ,IV
1550,1197 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,Saint Marc couronnant les vertus théologales ,IV
1551,1198 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,Jupiter foudroyant les crimes ,IV
1552,1199 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,Portrait de jeune femme ,VI tr. B-S
1553,1201 ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,Portrait de jeune femme (Ecole de). ,VI tr. B-S
1554,S. No ,"Caliari, Paolo, dit Paul Véronèse.", (1528-1580). ,La belle Nani.,Coll. Schlichting
1555,1202 ,"Campi, Antonio.", (avant 1536- vers 1591). ,La Mère de douleurs ,VI tr. B-N
1556,1203 ,"Canale, Antonio, dit Il Canaletto.", (1697-1768). ,Vue de Venise; l'église de la Salute et le Grand Canal ,VI tr. D-N
1557,1206 ,"Canlassi, Guido, dit Il Cagnacci.", (1601 - 1681). ,Saint Jean-Baptiste ,VI tr. D-N
1558,1207 ,"Cantarini, Simone, dit Il Pesarese.", (1612-1648). ,Le repos de la Sainte Famille ,VI tr. D-N
1559,S. Nu ,"Caprioli da Reggio, Francesco.", (XVme siècle). ,"La Vierge et l'Enfant. (Attribué). VI tr. A-N Caravage; voir Amerighi. 1210 Cardi, Lodovico, da Cigoli. (1559-1613)",— Saint François d'Assise VI tr. B-N
1560,1156 ,"Cariani, Giovanni Busi, dit", (vers 1480- après 1547) ,Portraits d'hommes. (Attribué) ,VI tr. A-S
