,author,life,title,width,height,wall,position,image_path
1100,Paris musée national du louvre 69  199 sisley, (1839-1899). ,temps de neige à veneux n adon  — 205 printemps trembles et acacias,,,,Musée Charles X S III,
1101,Paris musée national du louvre 69  199 sisley, (1839-1899). ,moret les bords du loing,,,,Musée Charles X S III,
1102,Stella jacques, (1596-1657). ,jésus christ recevant la vierge dans le ciel,,,O,XIV,
1103,Stella jacques, (1596-1657). ,sainte cécile jouant de l'orgue,33.0,35.0,O,XIV,data/images_paintings/1103.jpg
1104,Steuben charles, (1788-1856). ,plafond bataille d'ivry clémence de henri iv après la victoire — voussures médaillons contenant des portraits ou blasons d'hommes célèbres du règne de henri iv ,,,,Céramique antique II,
1105,Subleyras pierre, (1699-1749). ,la madeleine aux pieds du christ chez simon le pharisien,,,O,XVI,
1106,Subleyras pierre, (1699-1749). ,la madeleine aux pieds de jésus christ chez simon le pharisien esquisse    ,,,S,XVI,
1107,Subleyras pierre, (1699-1749). ,le martyre de saint pierre,81.5,136.5,S,XVI,data/images_paintings/1107.jpg
1108,Subleyras pierre, (1699-1749). ,la messe de saint basile   ,139.0,102.0,N,XVI,data/images_paintings/1108.jpg
1109,Subleyras pierre, (1699-1749). ,l'empereur théodose recevant la bénédiction de saint ambroise,,,N,XVI,
1110,Subleyras pierre, (1699-1749). ,saint benoît ressuscitant un entant,,,N,XVI,
1111,Subleyras pierre, (1699-1749). ,le faucon conte de la fontaine,,,N,XVI,
1112,Taraval hugues, (1729-17851. ,le triomphe d'amphitrite,227.0,325.0,,S des La Tour de St-Quentin,data/images_paintings/1112.jpg
1113,Taraval hugues, (1729-17851. ,l'automne ou le triomphe de bacchus plafond,,,,Galerie d'Apollon,
1114,Tassaert octave, (1800-1874). ,une famille malheureuse    ,78.5,114.0,,Musée Charles X S III,
1115,Ternante amédée lemaire de, (né vers 1835-? ) ,portrait en pied de marie dé médicis d'après f porbus ii',,,,S de la Colonnade,
1116,Thiénon claude , 1772?-1846).—Paysage ,italien,,,E,XVI,
1117,Tocqué louis, i 1696-1772). ,portrait de marie leczinska reine de france,191.0,277.0,O,XVI,data/images_paintings/1117.jpg
1118,Tocqué louis, i 1696-1772). ,portrait de louis de france dauphin fils de louis xv à l'âge de ro ans,,,N,XVI,
1119,Tocqué louis, i 1696-1772). ,portrait de m danger,,,S,XVI,
1120,Toulouse lautrec henri de, (1864-1901). ,la clownesse melle cha u ka o,,,,Musée Charles X S III,
1121,Toulouse lautrec henri de, (1864-1901). ,portrait de paul leclerq,,,,S des dessins XIXe,
1122,Tournemine charles emile de, (1814-1873). ,eléphants d'afrique,178.0,88.0,,E F XIXe S 2e étage II,data/images_paintings/1122.jpg
1123,Tournemine charles emile de, (1814-1873). ,habitations turques près adalia asie mineure,,,,E F XIXe S 2e étage II,
1124,Troy jean françois de, (1679-1752). ,premier chapitre de l'ordre du saint esprit tenu par henri iv dans l'église du couvent des grandsaugustins à paris le 8 janvier 1595,,,S,XVI,
1125,Troyon constant, (1810-1865). ,bœufs se rendant au labour effet du matin,,,E,VIII,
1126,Troyon constant, (1810-1865). ,le retour à la ferme,261.0,391.0,E,VIII,data/images_paintings/1126.jpg
1127,Troyon constant, (1810-1865). ,l'abreuvotr,,,,T T,
1128,Troyon constant, (1810-1865). ,la provende des poules,70.5,51.0,,T T,data/images_paintings/1128.jpg
1129,Troyon constant, (1810-1865). ,troupeau de moutons,27.5,38.3,,T T,data/images_paintings/1129.jpg
1130,Troyon constant, (1810-1865). ,le matin,32.0,41.0,,T T,data/images_paintings/1130.jpg
1131,Troyon constant, (1810-1865). ,vaches à l'abreuvoir,31.7,40.5,,T T,data/images_paintings/1131.jpg
1132,Troyon constant, (1810-1865). ,le petit troupeau,92.0,73.0,,T T,data/images_paintings/1132.jpg
1133,Troyon constant, (1810-1865). ,le passage du gué,165.0,115.0,,T T,data/images_paintings/1133.jpg
1134,Troyon constant, (1810-1865). ,la gardeuse de dindons,25.5,33.0,,T T,data/images_paintings/1134.jpg
1135,Troyon constant, (1810-1865). ,la barrière,117.0,90.5,,T T,data/images_paintings/1135.jpg
1136,Troyon constant, (1810-1865). ,la rencontre des troupeaux,,,,T T,
1137,Troyon constant, (1810-1865). ,les hauteurs de suresnes,,,,T T,
1138,Troyon constant, (1810-1865). ,berger ramenant son troupeau,35.5,46.5,,Musée Charles X S III,data/images_paintings/1138.jpg
1139,Troyon constant, (1810-1865). ,en route pour le marché,32.5,40.5,,Coll Chauchard galerie,
1140,Troyon constant, (1810-1865). ,le retour à la ferme,261.0,391.0,,Coll Chauchard galerie,data/images_paintings/1140.jpg
1141,Troyon constant, (1810-1865). ,le garde chasse arrêté près de ses chiens,,,,Coll Chauchard galerie,data/images_paintings/1141.jpg
1142,Troyon constant, (1810-1865). ,le garde chasse conduisant un relais,,,,Coll Chauchard galerie,
1143,Troyon constant, (1810-1865). ,le retour du marché,,,,Coll Chauchard galerie,data/images_paintings/1143.jpg
1144,Troyon constant, (1810-1865). ,les bœufs allant au labour,90.0,60.0,,Coll Chauchard galerie,
1145,Troyon constant, (1810-1865). ,la vache rousse broutant,,,,Coll Chauchard galerie,
1146,Troyon constant, (1810-1865). ,la vache blanche au pâturage,,,,Coll Chauchard galerie,
1147,Troyon constant, (1810-1865). ,la mare aux canards,82.0,57.0,,Coll Chauchard galerie,
1148,Troyon constant, (1810-1865). ,pâturage vallée de la toucques galerie  131  — vaches au repos — ii il32,,,,Musée Charles X S III,
1149,Troyon constant, (1810-1865). ,le passage du gué,165.0,115.0,,Musée Charles X S III,data/images_paintings/1149.jpg
1150,Trutat félix, (1824-1848). ,femme nue,,,,E F XIXe S 2e étage II,
1151,Valenciennes pierre henri, (1750-1819). ,cicéron étant questeur en sicile découvre le tombeau d'archimède,,,,E F XIXe S 1er étage I,
1152,Vallayer coster mille anne, (1744-1818). ,les attributs de la peinture et de la sculpture,121.0,90.0,,IVe S Meubles XVIIIe,data/images_paintings/1152.jpg
1153,Vallayer coster mille anne, (1744-1818). ,les attributs de la musique,,,,IVe S Meubles XVIIIe,
1154,Van loo jean baptiste, ( 1684-1745). ,institution de l'ordre du saint esprit par henri iii dans l'église du couvent des grands augustins à paris le 31 décembre i 78,,,S,XVI,
1155,Van loo charles andré, (1705-1765). ,un déjeuner de chasse,,,S,XV,
1156,Van loo charles andré, (1705-1765). ,portrait de marie leczinska reine de france lre,,,,Ire S Meubles XVIIIe,
1157,Van loo charles andré, (1705-1765). ,portrait de marie leczinska reine de france,,,,Coll Schlichting,
1158,Van loo louis michel, (1707-1 ï7 1). ,portrait de l'architecte jacques germain soufflot,,,N,XVI,
1159,Van loo louis michel, (1707-1 ï7 1). ,portrait de benoit loys,,,,V,
1160,Van loo louis michel, (1707-1 ï7 1). ,portrait de diderot,,,S,XVI,
1161,Van loo charles amédée philippe, (1719-1795). ,toilette d'une sultane,380.0,320.0,N,XVI,data/images_paintings/1161.jpg
1162,Verdier françois, (1651-1730). ,mercure endormant argus,,,S,XVI,
1163,Vernet claude joseph, (1714-1789). ,marine le naufrage,,,,Esc Henri IV,
1164,Vernet claude joseph, (1714-1789). ,paysage le matin   lre,,,,Ire S Meubles XVIIIe,
1165,Vernet claude joseph, (1714-1789). ,paysage le midi effet d'orage,,,,Musée Charles X S III,
1166,Vernet claude joseph, (1714-1789). ,paysage le soir 1er,,,,Ire S Meubles XVIIIe,
1167,Vernet claude joseph, (1714-1789). ,marine la nuit,,,,Ire S Meubles XVIIIe,
1168,Vernet claude joseph, (1714-1789). ,paysage les baigneuses,,,E,XVI,
1169,Vernet claude joseph, (1714-1789). ,paysage construction d'un grand chemin,,,E,XVI,
1170,Vernet claude joseph, (1714-1789). ,vue des cascatelles de tivoli,,,,Marine,
1171,Vernet claude joseph, (1714-1789). ,marine le midi ou le calme,,,,Marine,
1172,Vernet claude joseph, (1714-1789). ,marine le soir ou la tempête,,,,Marine,
1173,Vernet claude joseph, (1714-1789). ,marine effet de clair de lune,,,S,XVI,
1174,Vernet claude joseph, (1714-1789). ,marine le midi,65.0,44.0,N,XVI,data/images_paintings/1174.jpg
1175,Vernet claude joseph, (1714-1789). ,marine effet de soleil couchant,,,S,XVI,data/images_paintings/1175.jpg
1176,Vernet claude joseph, (1714-1789). ,vue du pont et du château saint ange à rome,,,N,XVI,
1177,Vernet emile jean horace, ^1789-18631. ,la barrière de clichy défense de paris en 1814,,,,E F XIXe S 2e étage II,
1178,Vernet emile jean horace, ^1789-18631. ,portrait de jean baptiste isabey peintre en miniature,,,,E F XIXe S 1er étage III,
1179,Vestier antoine, (1740-1824). ,portrait de la femme du peintre,,,S,XVI,
1180,Vestier antoine, (1740-1824). ,portrait de jeune femme,,,E,I,data/images_paintings/1180.jpg
1181,Vestier antoine, (1740-1824). ,portrait du peintre gabriel françois doyen,,,E,XVI,
1182,Vien joseph marie, (1716-1809). ,saint germain évêque d'auxerre et saint vincent diacre de l'église de saragosse,,,N,XV,
1183,Vincent françois andré, (1746-1816). ,zeuxis choisissant pour modèles les plus belles filles de la ville de crotone,,,S,XVI,
1184,Vinchon auguste   jean baptiste, (1789-1855) ,et gosse nicolas louis françois 1787 1877   huit bas reliefs grisailles  sculpteur grec apelle phidias orphée poète dramatique et acteur origine du chapiteau corinthien origine du dessin décadence des arts en grèce dessous de corniche,,,,Musée Charles X S IV,
1185,Vinchon auguste   jean baptiste, (1789-1855) ,huit bas reliefs grisailles pline observant le vésuve prêtres de pompei habitants fuyant de pompei le vésuve renversant les villes de la campanie philosophe cynique anacréon jeune fille et sorcière toilette dessous de corniche,,,,Musée Charles X S VII,
1186,Vinchon auguste   jean baptiste, (1789-1855) ,onze bas reliefs grisailles représentant différentes scènes de a vie civile des anciens dessous de la corniche — angles des voussures  débris de meubles trouvés à pompei et herculanum — salle viii — huit bas reliefs grisailles  homère chantant honneurs rendus à homère départ d'ulysse ulysse chez circé ulysse reconnu par pénélope thétis consolant achille thétis donnant des armes à achille diomède blesse vénus dessous de corniche,,,,Musée Charles X S IX,
1187,Vivien joseph, (1657-1735). ,portrait du duc de bourgogne pastel,,,,S des Pastels,
1188,Vivien joseph, (1657-1735). ,portrait du duc de bourgogne en cuirasse décoré de l'ordre du saint esprit pastel,,,,S des Pastels,
1189,Voiriot guillaume, (1713- 1799). ,portrait du peintre jean marc nattier,,,S,XVI,
1190,Vouet simon, (1590-1649). ,la présentation de jésus au temple xiv 0,,,S,XVI,
1191,Vouet simon, (1590-1649). ,la vierge l'enfant jésus et saint jean,130.0,182.0,,XII,data/images_paintings/1191.jpg
1192,Vouet simon, (1590-1649). ,le christ en croix,122.0,195.0,N,XIV,data/images_paintings/1192.jpg
1193,Vouet simon, (1590-16191. ,la richesse,124.0,170.0,S,XIV,data/images_paintings/1193.jpg
1194,Vouet simon, (1590-16191. ,la foi,,,S,XIV,
1195,Vouet simon, (1590-16191. ,la victoire debout tenant une couronne de laurier ,,,S,XIV,
1196,Vouet simon, (1590-16191. ,l'eloquence ,100.0,81.0,E,I,data/images_paintings/1196.jpg
1197,Watteau jean antoine, (1684-1721). ,l'embarquement pour l'île de cythère,,,N,XVI,data/images_paintings/1197.jpg
1198,Watteau jean antoine, (1684-1721). ,gilles,149.5,184.5,O,I,data/images_paintings/1198.jpg
1199,Watteau jean antoine, (1684-172 r). ,la finette,19.0,25.5,O,I,data/images_paintings/1199.jpg
1200,Watteau jean antoine, (1684-172 r). ,assemblée dans un parc,46.5,32.5,O,I,data/images_paintings/1200.jpg
1201,Watteau jean antoine, (1684-172 r). ,le jugement de paris esquisse,,,O,I,
1202,Watteau jean antoine, (1684-172 r). ,le faux pas esquisse,,,O,I,
1203,Watteau jean antoine, (1684-172 r). ,l'automne esquisse,,,O,I,
1204,Watteau jean antoine, (1684-172 r). ,jupiter et antiope,107.5,73.5,O,I,data/images_paintings/1204.jpg
1205,Watteau jean antoine, (1684-172 r). ,pastorale esquisse attribué,,,O,I,
1206,Watteau jean antoine, (1684-172 r). ,portrait d'homme âgé,,,N,XVI,
1207,Winterhalter f xavier, (1806-1873). ,portrait de mme rimsky korsakow,,,,E F XIXe S 1er étage II,
1208,Winterhalter f xavier, (1806-1873). ,portrait de l'impératrice eugénie,,,,E F XIXe S 1er étage III,
1209,Ziem félix, ( 1821-1911 ). ,grand voilier en vue de venise,110.0,69.0,,Coll Chauchard galerie,
1210,Ziem félix, ( 1821-1911 ). ,venise la giudecca,,,,Coll Chauchard galerie,
1211,Ziem félix, ( 1821-1911 ). ,l'embarcadère au palais ducal,,,,Coll Chauchard galerie,
1212,Ziem félix, ( 1821-1911 ). ,venise le grand canal près de,80.0,54.0,,Coll Chauchard galerie,data/images_paintings/1212.jpg
1213,Ziem félix, ( 1821-1911 ). ,barque à venise le soir,,,,Coll Chauchard galerie,
1214,Ziem félix, ( 1821-1911 ). ,un caïque constantinople,,,,Coll Chauchard galerie,
1215,Règne de charles vi, (1380-1422). ,panneau peint des deux côtés sur une face saint pierre et saint paul sur l'autre la flagellation du christ fragment de retable,,,,X,
1216,Règne de charles vi, (1380-1422). ,le christ mort soutenu par le père eternel pleuré par la vierge saint jean et les anges,,,,Musée Charles X S III,data/images_paintings/1216.jpg
1217,Règne de charles vi, (1380-1422). ,une «pitié» de notre seigneur,,,,Musée Charles X S III,
1218,Règne de charles vi, (1380-1422). ,la mise au tombeau ,,,,X,
1219,Règne de charles vi, (1380-1422). ,la vierge à l'écritoire vers 1400,,,,X,
1220,Albani francesco, (1578-1660). ,la toilette de vénus,252.0,202.0,N,VI tr B,data/images_paintings/1220.jpg
1221,Albani francesco, (1578-1660). ,les amours désarmés,251.0,202.0,N,VI tr B,data/images_paintings/1221.jpg
1222,Albani francesco, (1578-1660). ,diane et actéon,,,N,VI tr B,
1223,Albani francesco, (1578-1660). ,salmacis et hermaphrodite ■,31.0,14.0,N,VI tr D,data/images_paintings/1223.jpg
1224,Albertinelli mariotto, (1474-1515). ,la vierge et l'enfant,176.0,186.0,N,VI tr A,data/images_paintings/1224.jpg
1225,Albertinelli mariotto, (1474-1515). ,le christ apparaissant à la madeleine,,,N,VI tr A,
1226,Allegri antonio da correggio, (1494- 1534). ,mariage mystique de sainte catherine d'alexandrie,102.0,105.0,S,VI tr C,data/images_paintings/1226.jpg
1227,Allegri antonio da correggio, (1494- 1534). ,l'antiope,,,,IV,data/images_paintings/1227.jpg
1228,Allegri antonio da correggio, (1494- 1534). ,allégorie des vertus gouache,,,N,VI tr B,
1229,Allori christoforo, (1577-1621). ,isabelle d'aragon aux pieds de charles viii l'implore en faveur de son père et de son mari,,,N,VI tr B,
1230,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,la mort de la vierge,,,N,VI tr D,
1231,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,la diseuse de bonne aventure,,,N,VI tr D,
1232,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,concert,,,N,VI tr D,
1233,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,portait d'alof de wignacourt grand maître de malte en 1601,,,N,VI tr D,data/images_paintings/1233.jpg
1234,"Angeli filippo ""d""", (1600-1660). ,le satyre et le paysan,,,N,VI tr D,
1235,Angeli giuseppe, (1715?-!795?). ,le petit tambour vi tr d n angelico fra voir fiesole 1128 ansano ou sano di pietro 1406 1481,,,O,Musée Charles X S III,
1236,Angeli giuseppe, (1715?-!795?). ,saint jérôme agenouillé dans le désert,,,O,VII,
1237,Angeli giuseppe, (1715?-!795?). ,saint jérôme et le lion,,,O,VII,
1238,Angeli giuseppe, (1715?-!795?). ,mort de saint jérôme,,,O,VII,
1239,Angeli giuseppe, (1715?-!795?). ,apparition de saint jérôme à sulpice sévère et apparition de saint jérôme et de saint jean à saint augustin,,,O,VII,
1240,Antonello degli antoni dit antonello de messine, (1430-1479). ,portrait d'homme dit le condottiere,,,S,VI tr A,data/images_paintings/1240.jpg
1241,Antoniazzo romano ant aquili dit, (2TUE moitié du XVe siècle). ,la vierge et l'enfant,,,N,VI tr A,
1242,Baldovinetti alessio, (1427-1499). ,la vierge et l'enfant,75.0,106.0,E,VII,data/images_paintings/1242.jpg
1243,Balducci matteo, (commencement du XVIe siècle). ,le jugement de salomon attribué,,,N,VI tr A,
1244,Balducci matteo, (commencement du XVIe siècle). ,le jugement de daniel attribué ,,,N,VI tr A,
1245,Barbarelli giorgio, (1477 ou 1478- 1510). ,sainte famille,,,S,VI tr B,data/images_paintings/1245.jpg
1246,Barbarelli giorgio, (1477 ou 1478- 1510). ,concert champêtre,,,S,VI tr C,
1247,Barbieri giovanni francesco, (1591-1666). ,la résurrection de lazare,233.0,201.0,N,VI tr B,data/images_paintings/1247.jpg
1248,Barbieri giovanni francesco, (1591-1666). ,vision de saint jérôme,47.5,41.5,N,VI tr B,data/images_paintings/1248.jpg
1249,Barbieri giovanni francesco, (1591-1666). ,saint benoît et saint françois d'assise,,,N,VI tr B,
1250,Barbieri giovanni francesco, (1591-1666). ,les saints protecteurs de la ville de modène,208.0,364.0,,IV,data/images_paintings/1250.jpg
1251,Barbieri giovanni francesco, (1591-1666). ,hersilie séparant romulus et tatius,267.0,253.0,N,VI tr B,data/images_paintings/1251.jpg
1252,Barbieri giovanni francesco, (1591-1666). ,circé,97.0,124.0,N,VI tr D,data/images_paintings/1252.jpg
1253,Barbieri giovanni francesco, (1591-1666). ,portrait du guerchin par lui même,,,N,VI tr B,
1254,Barbieri giovanni francesco, (1591-1666). ,loth et ses filles,,,N,VI tr D,
1255,Barbieri giovanni francesco, (1591-1666). ,salomé recevant la tête de saint jean baptiste,175.0,139.0,N,VI tr D,data/images_paintings/1255.jpg
1256,Barocci federigo, (1528-1612). ,la circoncision,,,,IV,
1257,Bartolo di maestro fredi, ( 1330?-14 10). ,la présentation au temple,125.0,190.0,S,VII,data/images_paintings/1257.jpg
1258,Bartolo taddeo di, (vers 1363- vers 1436). ,la crucifixion et saint françois à genoux vii s bartolo sebastiano di dit bastiano mainardi voir mainardi 1153 bartolommeo di paolo del fattorino fra dit baccio della porta 1472 1517,,,N,Musée Charles X S III,
1259,Bartolo taddeo di, (vers 1363- vers 1436). ,mariage mystique de ste catherine,,,N,VI tr B,
1260,Bartolommeo di giovanni dit alunno di domenico, (travaillait de i j80 à 1500). ,noces de thétis et de pélée,,,E,VII,
1261,Batoni ou battoni pompeo girolamo, (1708-1787). ,le retour de l'enfant prodigue esc henri,,,,II,
1262,Bazzi giovanni antonio, (1177-1510)- ,sujet allégorique l'amour et la chasteté,,,,Coll Schlichting,
1263,Bellini giovanni, (vers 1430-1516). ,la vierge entre st pierre et st sébastien ecole de,,,S,VI tr A,
1264,Bellini giovanni, (vers 1430-1516). ,portrait d'homme vu jusqu'aux épaules de trois quarts à gauche,,,S,VI tr A,
1265,Bellini giovanni, (vers 1430-1516). ,la vierge l'enfant et saint sébastien ecole de,,,S,VI tr A,
1266,Bellini giovanni, (vers 1430-1516). ,le sauveur bénissant reproduit,,,S,VI tr A,
1267,Bellini giovanni, (vers 1430-1516). ,la vierge au donateur,,,,Coll Schlichting,
1268,Berrettini da cortona pietro, (1596-1669). ,alliance de jacob et de laban,,,N,VI tr D,
1269,Berrettini da cortona pietro, (1596-1669). ,la nativité de la vierge vi tr b n 1163,,,N,Musée Charles X S III,
1270,Berrettini da cortona pietro, (1596-1669). ,la vierge et l'enfant avec ste martine,,,N,VI tr B,
1271,Berrettini da cortona pietro, (1596-1669). ,romulus et rémus,,,N,VI tr B,
1272,Berrettini da cortona pietro, (1596-1669). ,la rencontre d'enée et de didon,,,N,VI tr B,
1273,"Bianchi ferrari francesco ""de""", (vers 1460-1510). ,la vierge et l'enfant avec deux anges saint quentin et saint benoît attribué,,,N,VI tr A,
1274,"Bianchi ferrari francesco ""de""", (vers 1460-1510). ,saint jean baptiste enfant,,,O,VII,data/images_paintings/1274.jpg
1275,Bissolo francesco, ( ? - 1554). ,portrait du poète et humaniste giorgio trissino,,,,Coll Schlichting,
1276,Boateri jacopo, (commencement du XVIme siècle). ,la vierge et l'enfant,55.0,71.5,N,VI tr A,data/images_paintings/1276.jpg
1277,Boltraffio ou beltraffio giovanni antonio," (1167-, 1516). ",la vierge de la famille casio,,,S,VI tr B,
1278,"Bonifazio ""de"" pitati", (1487-1553). ,la résurrection de lazare,,,S,VI tr B,
1279,"Bonifazio ""de"" pitati", (1487-1553). ,sainte famille,202.0,155.0,N,VI tr D,data/images_paintings/1279.jpg
1280,"Bonifazio ""de"" pitati", (1487-1553). ,le christ et la femme adultère,,,N,VI tr B,
1281,Bonvicino alessandro, (vers 1498-1554). ,saint bernardin de sienne et saint louis évêque de toulouse,,,N,VI tr A,
1282,Bonvicino alessandro, (vers 1498-1554). ,saint bonaventure et saint antoine de padoue,,,N,VI tr A,
1283,Bordone paris, (1500-1571). ,vertumne et pomone,,,S,VI tr B,
1284,Bordone paris, (1500-1571). ,portrait de jérôme crafft,,,S,VI tr B,
1285,Bordone paris, (1500-1571). ,portrait d'homme et d'enfant attribué,,,S,VI tr B,
1286,Bordone paris, (1500-1571). ,portrait de femme,,,S,VI tr B,
1287,Et, 1460-1523 ,,,,S,Musée Charles X S III,data/images_paintings/1287.jpg
1288,Et, 1460-1523 ,saint pierre de vérone et une donatrice agenouillée,,,S,VI tr A,
1289,Et, 1460-1523 ,saint augustin et un donateur vi tr a s botticelli voir filipepi 1482 botticini francesco 1446 1498,,,E,Musée Charles X S III,
1290,Et, 1460-1523 ,la vierge adorant l'enfant jésus,176.0,186.0,,Coll Arconati-Visconti,data/images_paintings/1290.jpg
1291,Bronzino agnolo di cosimo, (1502-1572). ,le christ et la madeleine,,,N,VI tr B,
1292,Calcar giovanni, (1449-vers 15.16). ,portrait de melchior von brauweiler de cologne,,,S,VI tr B,
1293,Caliari paolo, (1528-1588). ,l'incendie de sodome,,,S,VI tr B,
1294,Caliari paolo, (1528-1588). ,suzanne et les vieillards,,,,IV,
1295,Caliari paolo, (1528-1588). ,l'évanouissement d'esther,,,,IV,
1296,Caliari paolo, (1528-1588). ,sainte famille avec st georges et ste catherine,,,S,VI tr B,
1297,Caliari paolo, (1528-1588). ,sainte famille avec ste madeleine,,,S,VI tr B,
1298,Caliari paolo, (1528-1588). ,jésus guérit la belle mère de pierre esquisse,,,S,VI tr B,
1299,Caliari paolo, (1528-1588). ,les noces de cana,994.0,677.0,,IV,data/images_paintings/1299.jpg
1300,Caliari paolo, (1528-1588). ,le repas chez simon le pharisien,,,,IV,
1301,Caliari paolo, (1528-1588). ,jésus christ succombe sous le poids de la croix,,,S,VI tr B,
1302,Caliari paolo, (1528-1588). ,le calvaire,,,S,VI tr B,data/images_paintings/1302.jpg
1303,Caliari paolo, (1528-1580). ,les disciples d'emmaüs,,,,IV,data/images_paintings/1303.jpg
1304,Caliari paolo, (1528-1580). ,saint marc couronnant les vertus théologales,,,,IV,
1305,Caliari paolo, (1528-1580). ,jupiter foudroyant les crimes,,,,IV,
1306,Caliari paolo, (1528-1580). ,portrait de jeune femme,,,S,VI tr B,
1307,Caliari paolo, (1528-1580). ,portrait de jeune femme ecole de,,,S,VI tr B,
1308,Caliari paolo, (1528-1580). ,la belle nani,,,,Coll Schlichting,
1309,Campi antonio, (avant 1536- vers 1591). ,la mère de douleurs,,,N,VI tr B,
1310,Canale antonio, (1697-1768). ,vue de venise l'église de la salute et le grand canal,,,N,VI tr D,data/images_paintings/1310.jpg
1311,Canlassi guido, (1601 - 1681). ,saint jean baptiste,,,N,VI tr D,
1312,Cantarini simone, (1612-1648). ,le repos de la sainte famille,,,N,VI tr D,
1313,Caprioli da reggio francesco, (XVme siècle). ,la vierge et l'enfant attribué vi tr a n caravage voir amerighi 1210 cardi lodovico da cigoli 1559 1613,,,N,Musée Charles X S III,
1314,Cariani giovanni busi, (vers 1480- après 1547) ,portraits d'hommes attribué,,,S,VI tr A,
1315,Caroto giovanni francesco, (1470-1546) ,la vierge et l'enfant jésus attribué,,,S,VI tr A,
1316,Carpaccio vittore scarpazza ou scarpaccia, (vers 1455-entre 1525 et 1526). ,la prédication de saint etienne à jérusalem,,,S,VI tr A,
1317,Carracci annibale, (1560-1609). ,la vierge aux cerises,98.0,120.0,N,VI tr D,data/images_paintings/1317.jpg
1318,Carracci annibale, (1560-1609). ,le sommeil de l'enfant jésus dit «le silence du carrache» peut être copie par le dominiquin,,,N,VI tr D,data/images_paintings/1318.jpg
1319,Carracci annibale dit le carrache, ( 1 sbo-1609). ,la vierge apparaissant à saint luc et à sainte catherine,,,,IV,
1320,Carracci annibale dit le carrache, ( 1 sbo-1609). ,piétà peut être par le dominiquin,,,N,VI tr B,
1321,Carracci annibale dit le carrache, ( 1 sbo-1609). ,le christ au tombeau,,,N,VI tr D,
1322,Carracci annibale dit le carrache, ( 1 sbo-1609). ,diane découvrant la grossesse de calisto,,,N,VI tr B,
1323,Carracci annibale dit le carrache, ( 1 sbo-1609). ,la pêche,253.0,136.0,N,VI tr B,data/images_paintings/1323.jpg
1324,Carracci annibale dit le carrache, ( 1 sbo-1609). ,la chasse,253.0,136.0,N,VI tr B,data/images_paintings/1324.jpg
1325,Carracci antonio, (1583-1618). ,le déluge,247.0,166.0,N,VI tr B,data/images_paintings/1325.jpg
1326,Carriera rosalba, (1676-1758). ,portrait de femme avec bouquet dans les cheveux pastel,,,,S des Pastels,
1327,Carriera rosalba, (1676-1758). ,jeune fille tenant un singe portrait présumé de la fille du financier law pastel,,,,S des Pastels,
1328,Carriera rosalba, (1676-1758). ,jeune fille tenant une couronne de laurier pastel,,,,S des Pastels,
1329,Carriera rosalba, (1676-1758). ,etude de jeune fille les épaules découvertes pastel,,,,IIIe S Meubles XVIIIe,
1330,Casanova françois joseph, (1727-1802). ,le premier des trois combats de fribourg 3 août 1644,,,N,XVI,
1331,Casanova françois joseph, (1727-1802). ,bataille de lens 20 août 1648,,,N,XVI,
1332,Casanova françois joseph, (1727-1802). ,un cuirassier au galop,,,E,I,
1333,Casanova françois joseph, (1727-1802). ,un cavalier se dirigeant vers la gauche groupe de cavaliers,,,E,I,
1334,Castelli valerio, (1625-1659). ,le frappement du rocher,,,E,I,
1335,Castiglione giovanni benedetto, (1617-1665 ou 1670). ,melchisédech et abraham,134.0,106.0,N,VI tr D,data/images_paintings/1335.jpg
1336,Castiglione giovanni benedetto, (1617-1665 ou 1670). ,les vendeurs chassés du temple,,,N,VI tr D,
1337,Castiglione giovanni benedetto, (1617-1665 ou 1670). ,animaux et ustensiles,,,N,VI tr D,
1338,Cesare da sesto, (1477-1523). ,la vierge aux balances,,,S,VI tr B,
1339,Cesari giuseppe, (1560 - 1640). ,diane et actéon,66.0,47.5,N,VI tr B,data/images_paintings/1339.jpg
1340,Costa lorenzo, (1460-1535). ,la cour d'isabelle d'este duchesse de mantoue ou le règne des muses,,,S,VI tr A,
1341,Costa lorenzo, (1460-1535). ,janus et mercure chassant les vices de l'olympe ou le règne du dieu cornus,,,S,VI tr A,
1342,"Credi lorenzo di andrea ""doderigo""", (1457-1537). ,la vierge et l'enfant entre st julien et st nicolas de myre,,,N,VI tr A,
1343,"Credi lorenzo di andrea ""doderigo""", (1457-1537). ,le christ jardinier et la madeleine,,,N,VI tr A,
1344,Daddi bernardo, (ire moitié du XIVme siècle). ,l'annonciation,70.8,43.5,O,VII,data/images_paintings/1344.jpg
1345,Daddi bernardo, (ire moitié du XIVme siècle). ,le calvaire attribué,,,O,VII,
1346,Daddi bernardo, (ire moitié du XIVme siècle). ,la nativité vierge glorieuse le calvaire triptyque attribué vii 0 daniel de volterre voir ricciarelli dominiquin voir zampieri 1271  donducci giovanni andrea dit le mastelletta 15751655,,,N,Musée Charles X S III,
1347,Dono paolo, (1397-1475). ,portraits en buste de giotto paolo uccello donatello antonio manetti et filippo brunelleschi,,,O,VII,
